pulau_kota,kategori,nama_perumahan,latitude,longitude,link_gmaps
Medan,Subsidi,Kantor Pemasaran Perumahan Bersubsidi Mutiara Patumbak,3.5977861,98.7038739,https://www.google.com/maps/place/Kantor+Pemasaran+Perumahan+Bersubsidi+Mutiara+Patumbak/data=!4m7!3m6!1s0x303131a07fca6785:0x15e8078299891d4!8m2!3d3.5977861!4d98.7038739!16s%2Fg%2F11b7hd_r65!19sChIJhWfKf6AxMTAR1JGYKXiAXgE?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Pesona Martubung,3.7071369,98.6896704,https://www.google.com/maps/place/Perumahan+Pesona+Martubung/data=!4m7!3m6!1s0x3036cd2c08767d57:0x82c305fccfe70c21!8m2!3d3.7071369!4d98.6896704!16s%2Fg%2F11j0vrlsg7!19sChIJV312CCzNNjARIQznz_wFw4I?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perum Tanjung Selamat Indah Tahap II,3.528796,98.596568,https://www.google.com/maps/place/Perum+Tanjung+Selamat+Indah+Tahap+II/data=!4m7!3m6!1s0x30312592543ea7cf:0x1976d83b8e6b2905!8m2!3d3.528796!4d98.596568!16s%2Fg%2F11c6cj69bh!19sChIJz6c-VJIlMTARBSlrjjvYdhk?authuser=0&hl=id&rclk=1
Medan,Subsidi,Tembung Residence,3.593531,98.74311,https://www.google.com/maps/place/Tembung+Residence/data=!4m7!3m6!1s0x30313133dd5f51ab:0xb83a2077ec4193f3!8m2!3d3.593531!4d98.74311!16s%2Fg%2F11bttc9_qq!19sChIJq1Ff3TMxMTAR85NB7HcgOrg?authuser=0&hl=id&rclk=1
Medan,Subsidi,Griya Mulia Indah Hamparan Perak,3.7319975,98.6058092,https://www.google.com/maps/place/Griya+Mulia+Indah+Hamparan+Perak/data=!4m7!3m6!1s0x3036d308e8969acb:0x5d0bbd77a045ba8f!8m2!3d3.7319975!4d98.6058092!16s%2Fg%2F11s39cxxwj!19sChIJy5qW6AjTNjARj7pFoHe9C10?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Villa Khaisar,3.5384211,98.6304822,https://www.google.com/maps/place/Perumahan+Villa+Khaisar/data=!4m7!3m6!1s0x30312562529f26b1:0xe1fee895e25ca90!8m2!3d3.5384211!4d98.6304822!16s%2Fg%2F11hbpxyg0f!19sChIJsSafUmIlMTARkMolXonuHw4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumnas Martubung,3.6925238,98.6935383,https://www.google.com/maps/place/Perumnas+Martubung/data=!4m7!3m6!1s0x303132ccf9854df3:0x87cdce548fe1e40!8m2!3d3.6925238!4d98.6935383!16s%2Fg%2F11f041nnjp!19sChIJ802F-cwyMTARQB7-SOXcfAg?authuser=0&hl=id&rclk=1
Medan,Subsidi,PERUMAHAN KUD RESIDENCE,3.518582,98.6704898,https://www.google.com/maps/place/PERUMAHAN+KUD+RESIDENCE/data=!4m7!3m6!1s0x30313b0a8736babf:0x9e05909d8ce1fdb6!8m2!3d3.518582!4d98.6704898!16s%2Fg%2F11mtd8q5l_!19sChIJv7o2hwo7MTARtv3hjJ2QBZ4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Royal Sumatera,3.5221469,98.6423537,https://www.google.com/maps/place/Royal+Sumatera/data=!4m7!3m6!1s0x3031252c2e8df0fb:0xa62045540546dff0!8m2!3d3.5221469!4d98.6423537!16s%2Fg%2F11g1qgbwx7!19sChIJ-_CNLiwlMTAR8N9GBVRFIKY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan MayFair,3.5317715,98.6299405,https://www.google.com/maps/place/Perumahan+MayFair/data=!4m7!3m6!1s0x3031252cf4d261dd:0x3185b94b9056f382!8m2!3d3.5317715!4d98.6299405!16s%2Fg%2F11rcmrs006!19sChIJ3WHS9CwlMTARgvNWkEu5hTE?authuser=0&hl=id&rclk=1
